Process(V) Name                 Module Base Module Name          Result
0x85c95d28 wininit.exe          0x077700000 LPK.dll              OK: module.328.df095d28.77700000.dll
0x85c95d28 wininit.exe          0x075910000 CRYPTBASE.dll        OK: module.328.df095d28.75910000.dll
0x85c8b8e8 winlogon.exe         0x000280000 winlogon.exe         OK: module.352.df08b8e8.280000.dll
0x85c8b8e8 winlogon.exe         0x077b10000 ntdll.dll            OK: module.352.df08b8e8.77b10000.dll
0x85c8b8e8 winlogon.exe         0x077830000 kernel32.dll         OK: module.352.df08b8e8.77830000.dll
0x85c8b8e8 winlogon.exe         0x076780000 RPCRT4.dll           OK: module.352.df08b8e8.76780000.dll
0x85c8b8e8 winlogon.exe         0x075990000 WINSTA.dll           OK: module.352.df08b8e8.75990000.dll
0x85c8b8e8 winlogon.exe         0x0765b0000 sechost.dll          OK: module.352.df08b8e8.765b0000.dll
0x85c8b8e8 winlogon.exe         0x0737c0000 UXINIT.dll           OK: module.352.df08b8e8.737c0000.dll
0x85c8b8e8 winlogon.exe         0x077d00000 GDI32.dll            OK: module.352.df08b8e8.77d00000.dll
0x85c8b8e8 winlogon.exe         0x075a30000 profapi.dll          OK: module.352.df08b8e8.75a30000.dll
0x85c8b8e8 winlogon.exe         0x074440000 UxTheme.dll          OK: module.352.df08b8e8.74440000.dll
0x85c8b8e8 winlogon.exe         0x075d50000 USER32.dll           OK: module.352.df08b8e8.75d50000.dll
0x85c8b8e8 winlogon.exe         0x075080000 rsaenh.dll           OK: module.352.df08b8e8.75080000.dll
0x85c8b8e8 winlogon.exe         0x0760d0000 ole32.dll            OK: module.352.df08b8e8.760d0000.dll
0x85c8b8e8 winlogon.exe         0x0758a0000 SspiCli.dll          OK: module.352.df08b8e8.758a0000.dll
0x85c8b8e8 winlogon.exe         0x0758c0000 apphelp.dll          OK: module.352.df08b8e8.758c0000.dll
0x85c8b8e8 winlogon.exe         0x0766d0000 ADVAPI32.dll         OK: module.352.df08b8e8.766d0000.dll
0x85c8b8e8 winlogon.exe         0x0744c0000 netutils.dll         OK: module.352.df08b8e8.744c0000.dll
0x85c8b8e8 winlogon.exe         0x075980000 RpcRtRemote.dll      OK: module.352.df08b8e8.75980000.dll
0x85c8b8e8 winlogon.exe         0x077790000 USP10.dll            OK: module.352.df08b8e8.77790000.dll
0x85c8b8e8 winlogon.exe         0x072050000 MPR.dll              OK: module.352.df08b8e8.72050000.dll
0x85c8b8e8 winlogon.exe         0x0754c0000 CRYPTSP.dll          OK: module.352.df08b8e8.754c0000.dll
0x85c8b8e8 winlogon.exe         0x0775d0000 MSCTF.dll            OK: module.352.df08b8e8.775d0000.dll
0x85c8b8e8 winlogon.exe         0x075450000 netjoin.dll          OK: module.352.df08b8e8.75450000.dll
0x85c8b8e8 winlogon.exe         0x075a60000 KERNELBASE.dll       OK: module.352.df08b8e8.75a60000.dll
0x85c8b8e8 winlogon.exe         0x073ea0000 slc.dll              OK: module.352.df08b8e8.73ea0000.dll
0x85c8b8e8 winlogon.exe         0x074630000 wkscli.dll           OK: module.352.df08b8e8.74630000.dll
0x85c8b8e8 winlogon.exe         0x073cb0000 WindowsCodecs.dll    OK: module.352.df08b8e8.73cb0000.dll
0x85c8b8e8 winlogon.exe         0x0764d0000 msvcrt.dll           OK: module.352.df08b8e8.764d0000.dll
0x85c8b8e8 winlogon.exe         0x0776e0000 IMM32.DLL            OK: module.352.df08b8e8.776e0000.dll
0x85c8b8e8 winlogon.exe         0x077700000 LPK.dll              OK: module.352.df08b8e8.77700000.dll
0x85c8b8e8 winlogon.exe         0x075910000 CRYPTBASE.dll        OK: module.352.df08b8e8.75910000.dll
0x85cbf4e8 services.exe         0x000b10000 services.exe         OK: module.416.df0bf4e8.b10000.dll
0x85cbf4e8 services.exe         0x077b10000 ntdll.dll            OK: module.416.df0bf4e8.77b10000.dll
0x85cbf4e8 services.exe         0x077830000 kernel32.dll         OK: module.416.df0bf4e8.77830000.dll
0x85cbf4e8 services.exe         0x075760000 scext.dll            OK: module.416.df0bf4e8.75760000.dll
0x85cbf4e8 services.exe         0x076780000 RPCRT4.dll           OK: module.416.df0bf4e8.76780000.dll
0x85cbf4e8 services.exe         0x075590000 AUTHZ.dll            OK: module.416.df0bf4e8.75590000.dll
0x85cbf4e8 services.exe         0x0765b0000 sechost.dll          OK: module.416.df0bf4e8.765b0000.dll
0x85cbf4e8 services.exe         0x0775d0000 MSCTF.dll            OK: module.416.df0bf4e8.775d0000.dll
0x85cbf4e8 services.exe         0x077700000 LPK.dll              OK: module.416.df0bf4e8.77700000.dll
0x85cbf4e8 services.exe         0x075990000 WINSTA.dll           OK: module.416.df0bf4e8.75990000.dll
0x85cbf4e8 services.exe         0x075630000 SCESRV.dll           OK: module.416.df0bf4e8.75630000.dll
0x85cbf4e8 services.exe         0x0776a0000 WS2_32.dll           OK: module.416.df0bf4e8.776a0000.dll
0x85cbf4e8 services.exe         0x075480000 mswsock.dll          OK: module.416.df0bf4e8.75480000.dll
0x85cbf4e8 services.exe         0x0758a0000 SspiCli.dll          OK: module.416.df0bf4e8.758a0000.dll
0x85cbf4e8 services.exe         0x0758c0000 apphelp.dll          OK: module.416.df0bf4e8.758c0000.dll
0x85cbf4e8 services.exe         0x0766d0000 ADVAPI32.dll         OK: module.416.df0bf4e8.766d0000.dll
0x85cbf4e8 services.exe         0x077d00000 GDI32.dll            OK: module.416.df0bf4e8.77d00000.dll
0x85cbf4e8 services.exe         0x075520000 wship6.dll           OK: module.416.df0bf4e8.75520000.dll
0x85cbf4e8 services.exe         0x075980000 RpcRtRemote.dll      OK: module.416.df0bf4e8.75980000.dll
0x85cbf4e8 services.exe         0x077790000 USP10.dll            OK: module.416.df0bf4e8.77790000.dll
0x85cbf4e8 services.exe         0x0751a0000 UBPM.dll             OK: module.416.df0bf4e8.751a0000.dll
0x85cbf4e8 services.exe         0x0755c0000 srvcli.dll           OK: module.416.df0bf4e8.755c0000.dll
0x85cbf4e8 services.exe         0x0750d0000 credssp.dll          OK: module.416.df0bf4e8.750d0000.dll
0x85cbf4e8 services.exe         0x074ed0000 WTSAPI32.dll         OK: module.416.df0bf4e8.74ed0000.dll
0x85cbf4e8 services.exe         0x075a30000 profapi.dll          OK: module.416.df0bf4e8.75a30000.dll
0x85cbf4e8 services.exe         0x075a60000 KERNELBASE.dll       OK: module.416.df0bf4e8.75a60000.dll
0x85cbf4e8 services.exe         0x0764c0000 NSI.dll              OK: module.416.df0bf4e8.764c0000.dll
0x85cbf4e8 services.exe         0x0756a0000 Secur32.dll          OK: module.416.df0bf4e8.756a0000.dll
0x85cbf4e8 services.exe         0x074ec0000 wshtcpip.dll         OK: module.416.df0bf4e8.74ec0000.dll
0x85cbf4e8 services.exe         0x0764d0000 msvcrt.dll           OK: module.416.df0bf4e8.764d0000.dll
0x85cbf4e8 services.exe         0x0776e0000 IMM32.DLL            OK: module.416.df0bf4e8.776e0000.dll
0x85cbf4e8 services.exe         0x075d50000 USER32.dll           OK: module.416.df0bf4e8.75d50000.dll
0x85cbf4e8 services.exe         0x075910000 CRYPTBASE.dll        OK: module.416.df0bf4e8.75910000.dll
0x85cc5030 lsass.exe            0x0002a0000 lsass.exe            OK: module.424.df0c5030.2a0000.dll
0x85cc5030 lsass.exe            0x077b10000 ntdll.dll            OK: module.424.df0c5030.77b10000.dll
0x85cc5030 lsass.exe            0x075530000 bcrypt.dll           OK: module.424.df0c5030.75530000.dll
0x85cc5030 lsass.exe            0x075340000 kerberos.DLL         OK: module.424.df0c5030.75340000.dll
0x85cc5030 lsass.exe            0x075040000 tspkg.DLL            OK: module.424.df0c5030.75040000.dll
0x85cc5030 lsass.exe            0x077830000 kernel32.dll         OK: module.424.df0c5030.77830000.dll
0x85cc5030 lsass.exe            0x075780000 lsasrv.dll           OK: module.424.df0c5030.75780000.dll
0x85cc5030 lsass.exe            0x075590000 AUTHZ.dll            OK: module.424.df0c5030.75590000.dll
0x85cc5030 lsass.exe            0x074f90000 scecli.DLL           OK: module.424.df0c5030.74f90000.dll
0x85cc5030 lsass.exe            0x0755b0000 cngaudit.dll         OK: module.424.df0c5030.755b0000.dll
0x85cc5030 lsass.exe            0x074ec0000 wshtcpip.dll         OK: module.424.df0c5030.74ec0000.dll
0x85cc5030 lsass.exe            0x074fc0000 bcryptprimitives.dll OK: module.424.df0c5030.74fc0000.dll
0x85cc5030 lsass.exe            0x0775d0000 MSCTF.dll            OK: module.424.df0c5030.775d0000.dll
0x85cc5030 lsass.exe            0x075400000 msv1_0.DLL           OK: module.424.df0c5030.75400000.dll
0x85cc5030 lsass.exe            0x077700000 LPK.dll              OK: module.424.df0c5030.77700000.dll
0x85cc5030 lsass.exe            0x075990000 WINSTA.dll           OK: module.424.df0c5030.75990000.dll
0x85cc5030 lsass.exe            0x074630000 wkscli.dll           OK: module.424.df0c5030.74630000.dll
0x85cc5030 lsass.exe            0x075110000 GPAPI.dll            OK: module.424.df0c5030.75110000.dll
0x85cc5030 lsass.exe            0x076780000 RPCRT4.dll           OK: module.424.df0c5030.76780000.dll
0x85cc5030 lsass.exe            0x0776a0000 WS2_32.dll           OK: module.424.df0c5030.776a0000.dll
0x85cc5030 lsass.exe            0x075060000 IPHLPAPI.DLL         OK: module.424.df0c5030.75060000.dll
0x85cc5030 lsass.exe            0x075520000 wship6.dll           OK: module.424.df0c5030.75520000.dll
0x85cc5030 lsass.exe            0x075270000 netlogon.DLL         OK: module.424.df0c5030.75270000.dll
0x85cc5030 lsass.exe            0x075480000 mswsock.dll          OK: module.424.df0c5030.75480000.dll
0x85cc5030 lsass.exe            0x075080000 rsaenh.dll           OK: module.424.df0c5030.75080000.dll
0x85cc5030 lsass.exe            0x0758a0000 SspiCli.dll          OK: module.424.df0c5030.758a0000.dll
0x85cc5030 lsass.exe            0x073ab0000 ktmw32.dll           OK: module.424.df0c5030.73ab0000.dll
0x85cc5030 lsass.exe            0x075220000 DNSAPI.dll           OK: module.424.df0c5030.75220000.dll
